,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,age_category
0,0,58,1,1,1,0,2143,1,0,9,5,5.0,261,1,-1,0,9,0,1
1,1,44,2,1,2,0,29,1,0,9,5,5.0,151,1,-1,0,9,0,1
2,2,33,3,1,2,0,2,1,1,9,5,5.0,76,1,-1,0,9,0,1
3,3,47,3,1,9,0,1506,1,0,9,5,5.0,92,1,-1,0,9,0,1
4,5,35,1,1,1,0,231,1,0,9,5,5.0,139,1,-1,0,9,0,1
5,6,28,1,1,1,0,447,1,1,9,5,5.0,217,1,-1,0,9,0,1
6,7,42,3,2,1,1,2,1,0,9,5,5.0,380,1,-1,0,9,0,1
7,8,58,4,1,3,0,121,1,0,9,5,5.0,50,1,-1,0,9,0,1
8,9,43,2,1,2,0,593,1,0,9,5,5.0,55,1,-1,0,9,0,1
9,10,41,5,2,2,0,270,1,0,9,5,5.0,222,1,-1,0,9,0,1
10,11,29,5,1,2,0,390,1,0,9,5,5.0,137,1,-1,0,9,0,1
11,12,53,2,1,2,0,6,1,0,9,5,5.0,517,1,-1,0,9,0,1
12,13,58,2,1,9,0,71,1,0,9,5,5.0,71,1,-1,0,9,0,1
13,14,57,6,1,2,0,162,1,0,9,5,5.0,174,1,-1,0,9,0,1
14,15,51,4,1,3,0,229,1,0,9,5,5.0,353,1,-1,0,9,0,1
15,16,45,5,1,9,0,13,1,0,9,5,5.0,98,1,-1,0,9,0,1
16,17,57,3,1,3,0,52,1,0,9,5,5.0,38,1,-1,0,9,0,1
17,18,60,4,1,3,0,60,1,0,9,5,5.0,219,1,-1,0,9,0,1
18,19,33,6,1,2,0,0,1,0,9,5,5.0,54,1,-1,0,9,0,1
19,20,28,3,1,2,0,723,1,1,9,5,5.0,262,1,-1,0,9,0,1
20,21,56,1,1,1,0,779,1,0,9,5,5.0,164,1,-1,0,9,0,1
21,22,32,3,1,3,0,23,1,1,9,5,5.0,160,1,-1,0,9,0,1
22,23,25,6,1,2,0,50,1,0,9,5,5.0,342,1,-1,0,9,0,1
23,24,40,4,1,3,0,0,1,1,9,5,5.0,181,1,-1,0,9,0,1
24,25,44,5,1,2,0,-372,1,0,9,5,5.0,172,1,-1,0,9,0,1
25,26,39,1,1,1,0,255,1,0,9,5,5.0,296,1,-1,0,9,0,1
26,27,52,3,1,2,0,113,1,1,9,5,5.0,127,1,-1,0,9,0,1
27,28,46,1,1,2,0,-246,1,0,9,5,5.0,255,2,-1,0,9,0,1
28,29,36,2,1,2,0,265,1,1,9,5,5.0,348,1,-1,0,9,0,1
29,30,57,2,1,2,0,839,0,1,9,5,5.0,225,1,-1,0,9,0,1
30,31,49,1,1,1,0,378,1,0,9,5,5.0,230,1,-1,0,9,0,1
31,32,60,5,1,2,0,39,1,1,9,5,5.0,208,1,-1,0,9,0,1
32,33,59,3,1,2,0,0,1,0,9,5,5.0,226,1,-1,0,9,0,1
33,34,51,1,1,1,0,10635,1,0,9,5,5.0,336,1,-1,0,9,0,1
34,35,57,2,2,2,0,63,1,0,9,5,5.0,242,1,-1,0,9,0,1
35,36,25,3,1,2,0,-7,1,0,9,5,5.0,365,1,-1,0,9,0,1
