,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
0,58,1,1,1,0,2143,1,0,9,5,261,1,-1,0,9,0
1,44,2,1,2,0,29,1,0,9,5,151,1,-1,0,9,0
2,33,3,1,2,0,2,1,1,9,5,76,1,-1,0,9,0
3,47,3,1,9,0,1506,1,0,9,5,92,1,-1,0,9,0
4,35,1,1,1,0,231,1,0,9,5,139,1,-1,0,9,0
5,28,1,1,1,0,447,1,1,9,5,217,1,-1,0,9,0
6,42,3,2,1,1,2,1,0,9,5,380,1,-1,0,9,0
7,58,4,1,3,0,121,1,0,9,5,50,1,-1,0,9,0
8,43,2,1,2,0,593,1,0,9,5,55,1,-1,0,9,0
9,41,5,2,2,0,270,1,0,9,5,222,1,-1,0,9,0
10,29,5,1,2,0,390,1,0,9,5,137,1,-1,0,9,0
11,53,2,1,2,0,6,1,0,9,5,517,1,-1,0,9,0
12,58,2,1,9,0,71,1,0,9,5,71,1,-1,0,9,0
13,57,6,1,2,0,162,1,0,9,5,174,1,-1,0,9,0
14,51,4,1,3,0,229,1,0,9,5,353,1,-1,0,9,0
15,45,5,1,9,0,13,1,0,9,5,98,1,-1,0,9,0
16,57,3,1,3,0,52,1,0,9,5,38,1,-1,0,9,0
17,60,4,1,3,0,60,1,0,9,5,219,1,-1,0,9,0
18,33,6,1,2,0,0,1,0,9,5,54,1,-1,0,9,0
19,28,3,1,2,0,723,1,1,9,5,262,1,-1,0,9,0
20,56,1,1,1,0,779,1,0,9,5,164,1,-1,0,9,0
21,32,3,1,3,0,23,1,1,9,5,160,1,-1,0,9,0
22,25,6,1,2,0,50,1,0,9,5,342,1,-1,0,9,0
23,40,4,1,3,0,0,1,1,9,5,181,1,-1,0,9,0
24,44,5,1,2,0,-372,1,0,9,5,172,1,-1,0,9,0
25,39,1,1,1,0,255,1,0,9,5,296,1,-1,0,9,0
26,52,3,1,2,0,113,1,1,9,5,127,1,-1,0,9,0
27,46,1,1,2,0,-246,1,0,9,5,255,2,-1,0,9,0
28,36,2,1,2,0,265,1,1,9,5,348,1,-1,0,9,0
29,57,2,1,2,0,839,0,1,9,5,225,1,-1,0,9,0
30,49,1,1,1,0,378,1,0,9,5,230,1,-1,0,9,0
31,60,5,1,2,0,39,1,1,9,5,208,1,-1,0,9,0
32,59,3,1,2,0,0,1,0,9,5,226,1,-1,0,9,0
33,51,1,1,1,0,10635,1,0,9,5,336,1,-1,0,9,0
34,57,2,2,2,0,63,1,0,9,5,242,1,-1,0,9,0
35,25,3,1,2,0,-7,1,0,9,5,365,1,-1,0,9,0
36,53,2,1,2,0,-3,0,0,9,5,1666,1,-1,0,9,0
37,36,5,2,2,0,506,1,0,9,5,577,1,-1,0,9,0
38,37,5,1,2,0,0,1,0,9,5,137,1,-1,0,9,0
39,44,6,2,2,0,2586,1,0,9,5,160,1,-1,0,9,0
40,50,1,1,2,0,49,1,0,9,5,180,2,-1,0,9,0
41,60,3,1,9,0,104,1,0,9,5,22,1,-1,0,9,0
42,54,4,1,2,0,529,1,0,9,5,1492,1,-1,0,9,0
43,58,4,1,9,0,96,1,0,9,5,616,1,-1,0,9,0
44,36,5,1,3,0,-171,1,0,9,5,242,1,-1,0,9,0
45,58,7,1,1,0,-364,1,0,9,5,355,1,-1,0,9,0
46,44,2,1,2,0,0,1,0,9,5,225,2,-1,0,9,0
47,55,2,2,2,0,0,0,0,9,5,160,1,-1,0,9,0
48,29,1,1,1,0,0,1,0,9,5,363,1,-1,0,9,0
49,54,3,1,2,0,1291,1,0,9,5,266,1,-1,0,9,0
50,48,1,2,1,0,-244,1,0,9,5,253,1,-1,0,9,0
51,32,1,1,1,0,0,1,0,9,5,179,1,-1,0,9,0
52,42,5,1,2,0,-76,1,0,9,5,787,1,-1,0,9,0
53,24,2,1,2,0,-103,1,1,9,5,145,1,-1,0,9,0
54,38,3,1,1,0,243,0,1,9,5,174,1,-1,0,9,0
55,38,1,1,1,0,424,1,0,9,5,104,1,-1,0,9,0
56,47,3,1,9,0,306,1,0,9,5,13,1,-1,0,9,0
57,40,3,1,9,0,24,1,0,9,5,185,1,-1,0,9,0
58,46,6,1,3,0,179,1,0,9,5,1778,1,-1,0,9,0
59,32,5,1,1,0,0,1,0,9,5,138,1,-1,0,9,0
60,53,2,2,2,0,989,1,0,9,5,812,1,-1,0,9,0
61,57,3,1,3,0,249,1,0,9,5,164,1,-1,0,9,0
62,33,6,1,2,0,790,1,0,9,5,391,1,-1,0,9,0
63,49,3,1,9,0,154,1,0,9,5,357,1,-1,0,9,0
